"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1497859849.87434","1671819990.62998","1810502720.97997","1988839272.09242","2197955100.45069","2301201474.3891","2371124240.96123","2581983077.34814","2663055513.55105","2734950490.7591","3009056282.3679","2983689819.07844","2931664257.57261","3045100030.48824","3374481585.3564","3521849159.19509","3666548022.60051","3832820981.672","3903830107.88852","3519787115.7413","3429584867.39192","3621879746.15775","3640775603.07363","3860198723.12755","3966592233.01558","3990944634.03035","4026064568.37577","4157176526.73923","","",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18973027428.8955","21032245383.3138","21903906005.033","25122565906.1993","27269473533.6214","31873654690.1845","33769009351.4633","41304884284.1507","47787706703.5775","48993947132.3454","56301250158.1678","60497916496.011","63321947173.1356","64927903089.8577","67121529134.9001","70220349482.0068","72672245387.0863","",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36607761177.8913","38220933543.7374","36809655605.5788","28644401034.2843","29647912555.1096","34810016152.9285","40248524979.5276","43920842824.737","46498762066.5677","48199123943.4893","50781818082.5101","54078410873.686","62440884508.5708","65502029873.3818","74632978885.1874","88523668696.6946","101734360611.784","119103107109.928","134977724460.369","137174634048.581","145516350037.004","153713884832.921","170044174088.083","181601150054.598","193960480631.785","197884315351.578","194886791770.792","198298815203.34","198795526982.065","",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8378950164.15646","6236674649.6256","5920351121.96121","6639980529.9607","7344850516.95006","8497882715.49792","9440948344.14219","8555019546.66517","9451335237.27792","10792597200.4896","11927765514.6466","13162883698.2089","14221891223.1718","15181419279.0283","16414419614.8156","17663293360.652","19630459705.7271","21610743514.1622","24251602591.5662","25805526262.4929","28046641295.61","29655511080.3671","30530303813.1432","30604048365.0811","32529074566.728","33594846192.8098","34134081398.3363","37154201393.3919","38306694289.2319","",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1515870251447.51","1571906627595.73","1690174827852.58","1784431045123.28","1876628338408.74","1967708549003.83","2096392522707.09","2223848479438.31","2380434624142.7","2470532913586.98","2658448825858.71","2764365087814.84","2823422027694.3","3003502814251.11","3367193225972.02","3668244726758.96","4012017767372.99","4307626921630.54","4649468374423.23","4728316079639.51","5013807734555.15","5272638544999.42","5728946693323.13","6008759508279.24","6265968835664.58","6535176504201.59","6842308635705.1","7043426740693.24","7375778392751.3","",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133304614393.341","138997952481.491","146920949014.215","152298773459.99","166277952232.071","181118178700.877","195128766451.688","214750962446.846","217802146778.07","227359129262.965","257667892890.764","267003711497.54","277827271221.997","307891155938.851","346427421189.325","374561895047.178","423858817031.865","449104740972.887","472453936479.107","451096460996.178","463667334143.144","506157540235.955","538999488457.271","576173978831.387","612226621383.896","650367596376.313","677604745155.374","693873821437.306","723046726039.598","",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240729396542.154","271599874092.305","299838339890.675","332133045005.078","359023215318.619","356122172790.966","382685026769.822","420859021565.871","441982078250.122","433184279277.152","439373779139.83","429214934742.59","388503697515.774","430688393487.434","482219745923.824","541254661019.718","602507798387.323","674422528855.176","715436074017.297","678224133525.859","755600249120.845","817697534663.575","824825758608.891","859488656412.755","853745037709.42","886440970474.418","877491893830.838","918032825598.079","917056983548.118","",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8592656883.15312","7843900652.6347","4669185549.60385","4359188274.96758","4692696345.09089","5121679698.03098","5521366818.28171","5803107765.45495","6296817802.26446","6598526611.70216","7144051049.70051","7998457025.65322","9196357104.88976","10682363451.9419","12118272912.2155","14228374757.8704","16593643826.75","19382176255.5453","21122568892.9699","18271970265.7773","18891551957.4483","20192628679.6198","22061645091.1248","23189619051.5362","24478961727.2171","25532428677.246","25863255540.5825","28331472879.8257","30530737470.7951","",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
